seed,numerRuns,rounds,outcome
5148989120257651772,1,23,win
8407446480031683503,1,87,win
3731714866275374885,1,32,win
6627518814883146404,1,92,win
2207318052955230310,1,38,win
8559702277447083129,1,93,win
2944000048214699251,1,85,win
8859112942364719097,1,83,loss
4557327085225287371,1,15,loss
3526752010555643265,1,35,win
4450526516995330133,1,41,win
3514006683875722244,1,67,win
7036958098307161360,1,24,win
8324176466968584531,1,23,win
1653128748017452623,1,27,win
3920795505798903786,1,29,win
5463178204511030481,1,28,win
156805526430965178,1,17,win
825685204801678294,1,40,win
7876693924729560152,1,44,win
1284515842227905899,1,48,win
6565985046106482212,1,36,loss
597036494353655718,1,25,win
2423213898078950072,1,65,win
4172892459721050261,1,27,win
7083179687296378304,1,23,win
6401973463909118764,1,32,win
4624159055592507755,1,29,loss
1112148780945143757,1,28,loss
3565306191430702106,1,37,win
1361249506141648585,1,56,win
7932604095918556753,1,50,win
4277090040303984147,1,41,win
839700395723477199,1,29,win
7251556258740391542,1,21,win
9075138842594805378,1,40,win
